Krupp,WA,47.409684,-118.9894139
Soap Lake,WA,47.389307,-119.4905909
Maple Valley,WA,47.3664231,-122.0437126
Fairfield,WA,41.0086312,-91.9626726
Covington,WA,47.3657791,-122.1002219
Rock Island,WA,45.90923825,-119.6290869
Gig Harbor,WA,47.3259697,-122.5878658
Federal Way,WA,47.313494,-122.3393102
Auburn,WA,47.3075369,-122.2301807
Waverly,WA,42.7258142,-92.4754625
Black Diamond,WA,47.3083078,-122.0037582
Ephrata,WA,40.1799111,-76.1789241
Odessa,WA,47.3332023,-118.6908273
Sprague,WA,47.3001584,-117.9755064
Ruston,WA,47.2994854,-122.5069472
Algona,WA,43.0699663,-94.2330189
Latah,WA,47.2815642,-117.1554609
Pacific,WA,46.34845609,-123.8059667
Milton,WA,47.2481166,-122.3128369
Sumner,WA,47.2061882,-122.2312382
Edgewood,WA,42.6449174,-91.4007895
Fife,WA,47.2359524,-122.362638
Rosalia,WA,47.2360047,-117.3698129
Quincy,WA,47.2342997,-119.8525503
Shelton,WA,47.2150945,-123.1007065
University Place,WA,47.216134,-122.5400829
Fircrest,WA,47.2317185,-122.5143048
Malden,WA,47.2289345,-117.4725854
Tekoa,WA,47.2233681,-117.0708757
Roslyn,WA,47.2250907,-121.0030003
Enumclaw,WA,47.2047793,-121.991637
Puyallup,WA,47.1849009,-122.2921405
Bonney Lake,WA,47.1870191,-122.1702292
Cle Elum,WA,47.195707,-120.9525489
Lamont,WA,42.5985957,-91.6421005
Lakewood,WA,47.1714085,-122.5163999
South Cle Elum,WA,47.1857079,-120.9528753
Steilacoom,WA,47.1703692,-122.5962873
Buckley,WA,47.1622483,-122.0277459
Moses Lake,WA,47.1301417,-119.278077
South Prairie,WA,47.1392684,-122.098169
Oakesdale,WA,47.1282275,-117.2426822
Ritzville,WA,47.1273723,-118.379975
DuPont,WA,47.0990689,-122.6375462
Orting,WA,47.0978795,-122.2042823
Lacey,WA,47.0263876,-122.8072256
Wilkeson,WA,47.1053802,-122.0456672
Farmington,WA,40.6409932,-91.7391119
Saint John,WA,45.6956815,-122.6125715
